H(n) Coefficients
89
89
-44 5.739050042792902e-07
-43 7.357184010200437e-06
-42 8.22187868295429e-06
-41 -2.4217101876718384e-05
-40 -7.486552483324472e-05
-39 -6.47791354622572e-05
-38 6.518185250138151e-05
-37 0.0002332814359511309
-36 0.00022715107113501694
-35 -8.249296271961202e-05
-34 -0.0005037967967982746
-33 -0.000575009069001079
-32 1.0591225272648136e-18
-31 0.0008885936141464818
-30 0.00120753291053911
-29 0.0003090274878872222
-28 -0.001346529264304275
-27 -0.002229102920185021
-26 -0.0010313012350287893
-25 0.0017648432281533767
-24 0.0037244101012585775
-23 0.0024141937372391077
-22 -0.0019316827675401064
-21 -0.005728144265150104
-20 -0.004761457113003409
-19 0.0015099689381181905
-18 0.008197574961509926
-17 0.008439639077120703
-16 -7.098431690505223e-18
-15 -0.01099716085249224
-14 -0.013935971379887033
-13 -0.003357483878936148
-12 0.01390227902305598
-11 0.022082633737945716
-10 0.00990505815701848
-9 -0.016624630378618045
-8 -0.034875523726603436
-7 -0.022842688442418022
-6 0.018856058557692887
-5 0.059319933403385955
-4 0.054456337602799554
-3 -0.020322111210538712
-2 -0.1458424453844073
-1 -0.2641246558556747
0 0.6874999999999999
1 -0.2641246558556747
2 -0.1458424453844073
3 -0.020322111210538712
4 0.054456337602799554
5 0.059319933403385955
6 0.018856058557692887
7 -0.022842688442418022
8 -0.034875523726603436
9 -0.016624630378618045
10 0.00990505815701848
11 0.022082633737945716
12 0.01390227902305598
13 -0.003357483878936148
14 -0.013935971379887033
15 -0.01099716085249224
16 -7.098431690505223e-18
17 0.008439639077120703
18 0.008197574961509926
19 0.0015099689381181905
20 -0.004761457113003409
21 -0.005728144265150104
22 -0.0019316827675401064
23 0.0024141937372391077
24 0.0037244101012585775
25 0.0017648432281533767
26 -0.0010313012350287893
27 -0.002229102920185021
28 -0.001346529264304275
29 0.0003090274878872222
30 0.00120753291053911
31 0.0008885936141464818
32 1.0591225272648136e-18
33 -0.000575009069001079
34 -0.0005037967967982746
35 -8.249296271961202e-05
36 0.00022715107113501694
37 0.0002332814359511309
38 6.518185250138151e-05
39 -6.47791354622572e-05
40 -7.486552483324472e-05
41 -2.4217101876718384e-05
42 8.22187868295429e-06
43 7.357184010200437e-06
44 5.739050042792902e-07
